claimId,referenceNumber,supportQuote
CLM-032,21,"Call 999 if:

- you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion

- you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back

- you have chest pain and you feel sweaty, sick, light headed or short of breath

You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-033,9,"Electrical cardioversion is highly effective in restoring sinus rhythm and is valuable in various clinical scenarios. In emergency settings, electrical cardioversion is recommended for patients with haemodynamic instability to improve immediate outcomes. Electrical cardioversion may also be used when the impact of AF-related symptomatology is not clear, or as a diagnostic tool when the benefits of restoring sinus rhythm are uncertain. The correlation between symptoms and heart rhythm is poor in patients with intermittent AF, since patient symptoms are not specific and may be due to coexistent comorbidities. 114 A substantial percentage of patients without self-reported AF-related symptoms may experience improvement in their symptomatic status and functional class after electrical cardioversion. 115 The diagnostic utility of electrical cardioversion may also prove helpful in patients with AF and impaired left ventricular function when AF-mediated tachycardiomyopathy is a differential diagnosis. In these cases, electrical cardioversion can assess the potential recovery of systolic function with sinus rhythm restoration. 115 If AF is identified as the primary driver of systolic dysfunction, the patient could then be considered for catheter ablation."
CLM-034,6,"Many studies had a large proportion of data excluded because of insufficient PPG signal quality [ 14 , 18 , 22 , 24 ]. Some studies took place in settings where patients were supervised and provided instructions on the technique [ 22 , 27 ]. Thus, generalizing these findings to the real world could weaken the diagnostic accuracy. PPG technology recognizes the cardiac cycle by the pulsatile pattern of the change in light absorption, which reflects the volumetric alteration in the microvascular beds underneath the skin. With an accurate estimation, each episode of maximum reflected light absorption translates into an R wave. Although previous research has questioned the use of PPG sensors in darker skin, a recently published study showed no statistically significant differences in wearable heart rate measurement accuracy across skin tones [ 43 ]. However, a number of studies have shown that PPG sensors are less reliable at higher heart rates and during exercise [ 44 , 45 ]. As some studies in this review did not report the average heart rate of participants, it may add a level of bias to the results. In addition, PPG technology cannot detect myocardial ischemia or arrhythmias with a ventricular origin and therefore, at present, cannot completely replace 12-lead ECGs. Therefore, one must question whether the application of PPG-based sensors for cardiac arrhythmia detection is premature."
CLM-037,15,"Our meta-analysis was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines [ 20 ]. We searched the Cochrane Library, PubMed, Web of Science, Embase, Wanfang, Weipu, and China Knowledge Resource Integrated databases to identify relevant studies published in English or Chinese prior to June 2016. Our search terms included “coronary heart disease,” “suxiao jiuxin pill,” and “coronary artery disease.” We also searched for meta-analysis publications and bibliographies referenced in the selected publications. Gray literature was identified through related agencies and clinical trial registers. Clinical trials that compared the efficacy of suxiao jiuxin pill on coronary heart disease with those of placebo or standard therapy were included in this meta-analysis. Criteria for inclusion were as follows: (1) a randomized controlled study design, (2) the possibility of extracting accurate clinical data, (3) classifying coronary heart disease based on the updated guidelines of the American Heart Association and American College of Cardiology Foundation [ 21 , 22 ], and (4) reporting ECG results, lipid profiles, and/or hemorheology changes as outcomes. Two reviewers (X. L. H. and J. Z. J.) independently reviewed the studies to determine whether they satisfied the eligibility criteria. Discrepancies between reviewers' opinions were resolved by consensus, and a third reviewer was consulted when necessary. … The 41 studies consisted of 6276 patients with coronary heart disease. The mean age in the treatment group was 57.57 ± 8.15 years and 54.10% of the patients were male. The mean age in the control group was 57.80 ± 8.72 years and 45.96% of the patients were male. The baseline characteristics were balanced between the treatment and control groups. The majority of the included studies received low Jadad scores due to the lack of a double-blind design ( Table 2 )."
CLM-040,5,"Rajakariar et al. assessed the accuracy of using an Apple Watch with AliveCor KardiaBand (KB) for diagnosing atrial fibrillation (AF) in comparison to a 12-lead ECG. The KB, when paired with a smartwatch, provided an automated diagnosis of either AF or sinus rhythm. The sensitivity and specificity of KB were 94.4% and 81.9%, respectively, with a positive predictive value of 54.8% and a negative predictive value of 98.4%. The agreement between the diagnosis from the 12-lead ECG and KB was moderate, especially when including unclassified tracings (κ = 0.60, 95% CI 0.47 to 0.72) [ 63 ]."
CLM-035,6,
CLM-036,9,
CLM-041,23,"The Apple Heart Study was a large-scale, siteless study conducted with 419,297 participants over eight months, assessing the potential of a smartphone app and smartwatch-based irregular pulse notification system to detect AF [ 32 ]. Participants without prior self-reported AF used an Apple iPhone app to consent to passive monitoring through a smartwatch. If an irregular pulse was detected, a telemedicine consultation was triggered, and participants were mailed an ECG patch to wear for up to seven days. Over a median monitoring period of 117 days, only 0.52% (2161 participants) received irregular pulse notifications. Among the 450 participants who returned an ECG patch with analysable data, AF was detected in 34%, with a similar rate (35%) in those aged 65 or older. Importantly, the irregular pulse notifications’ positive predictive value (PPV) was high, 0.84 for detecting AF through ECG at the time of notification and 0.71 for tachogram concordance with ECG findings. These findings suggest that the smartwatch notification system is fairly reliable in identifying true AF cases, with 84% of notifications accurately reflecting AF [ 32 ]."
CLM-042,23,"The Fitbit Heart Study enrolled 455,699 participants between May and October 2020 to assess the effectiveness of the Fitbit wearable devices’ algorithm in AF [ 33 ]. Irregular heart rhythms occurred in 1% of participants, and 4% of those aged 65 and older, over a median follow-up period of 122 days. Among the 1057 participants who received an irregular heart rhythm notification and returned an ECG patch with analysable data, 32.2% were found to have AF. The study showed a high PPV of 98.2% and 97% for participants ≥65 years old [ 33 ]."
CLM-043,23,"The mAFA-II Trial screening for AF was conducted across China using PPG technology in smart devices, including the Honor Band 4 and Huawei Watch GT, for individuals aged 18 and older [ 36 ]. Participants wore the devices for at least 14 days. Healthcare providers further validated episodes of “possible AF” detected by the PPG algorithm through clinical evaluation, ECG, or 24 h Holter monitoring at the MAFA Telecare centre and network hospitals. A total of 187,912 individuals used PPG smart devices to monitor their pulse rhythm between 26 October 2018, and 20 May 2019. Out of the 187,912 individuals monitored, 424 (0.23%, mean age 54 years, 87.0% male) received a “suspected AF” notification. Among those who were followed up, 227 out of 262 individuals (87.0%) were confirmed to have AF, resulting in a positive predictive value of 91.6% for PPG signals (95% CI: 91.5–91.8%). Both suspected and confirmed cases of AF significantly increased with age (p for trend <0.001), with the highest rate of detected AF found in Northeast China at 0.28% (95% CI: 0.20–0.39%) [ 36 ]."
